Open,High,Low,Vol,Change,PriceTomorow
20769.5,20867.9,20231.6,365491,-0.023,20594.4
20086.8,20981.5,20062.9,427991,0.034,20292.9
19331.8,20406.9,19249,371541,0.039,20769.5
19571.2,19588.6,19177.2,286941,-0.012,20082.7
19204.8,19680.9,19092.5,180631,0.019,19331.5
19162.6,19249.9,19116.1,118241,0.002,19571.2
19042.9,19245.5,18703.3,294661,0.006,19204.8
19125.1,19334.5,18935.6,253201,-0.004,19162.6
19328.2,19358.6,19101.2,209281,-0.011,19042.9
19548.4,19692.9,19102.8,290071,-0.011,19123.9
19262.2,19663.5,19163.6,248401,0.015,19328.2
19068.8,19411.9,19066,140951,0.01,19548.2
19181.7,19218.7,19000.8,123661,-0.006,19261.9
19379.8,19933.9,19098.6,400451,-0.01,19068.7
19154.6,19494.4,18207.9,455131,0.012,19181.8
19058.5,19212.6,19010.6,242181,0.005,19379.8
19134.3,19261.3,18868.7,288571,-0.004,19154.8
19441.7,19520.7,19057,243771,-0.016,19059.1
19416.3,19552.1,19329.6,127531,0.001,19134.6
19530.2,19612.2,19274.7,113501,-0.006,19441
19962.4,20051.4,19352.1,263501,-0.021,19415
20157.5,20436.7,19873.7,370601,-0.01,19531.3
20340.5,20353.8,19761.7,352761,-0.009,19956.7
19629.7,20436.1,19506.4,368171,0.036,20157.5
19057.6,19676,19001.3,333031,0.03,20340.2
19311.9,19389.9,18937.3,222821,-0.013,19628.3
19422.9,19480.3,19172.6,173911,-0.006,19052.2
19593.4,20174.9,19208.9,490291,-0.009,19311.9
19420.2,19631.5,18877.9,449571,0.009,19423
19083.4,19757.8,18505.3,581191,0.017,19593
19228.8,20361.2,18850.4,660121,-0.008,19411
18803.1,19304.8,18695.2,516031,0.023,19081
18925.1,19125.1,18659.6,209711,-0.006,19225.7
19288.4,19310.6,18812,258501,-0.019,18803.2
19404.1,19477.3,18554.8,431151,-0.006,18925.2
18488.1,19490.9,18371,448631,0.05,19293.5
18875.1,19758.4,18191.8,446851,-0.02,19404
19538.9,19626.3,18742.6,361181,-0.034,18489
19417.4,19666.6,18277.8,423431,0.006,18872.4
20113.9,20113.9,19347.7,273111,-0.035,19538.9
19802.8,20178.6,19761,204581,0.016,19418.8
19701.9,19883,19352.9,315591,0.005,20113.5
